"","X1","X2","X3","X4","X5","Country","Type"
"1",2.49,16.8,4.22,0.06,1.46,"Vietnam","japonica"
"2",2.13,14.9,3.63,0.07,1.71,"Vietnam","japonica"
"3",1.34,16.7,3.59,0.05,1.34,"Vietnam","japonica"
"4",2.79,16.1,3.68,0.05,1.11,"Vietnam","japonica"
"5",2.44,17.3,3.57,0.05,0.84,"Vietnam","japonica"
"6",2.11,15.5,4.12,0.07,0.99,"Vietnam","japonica"
"7",2.32,15.5,2.08,0.07,1.39,"Vietnam","japonica"
"8",2.03,15.3,4.55,0.07,1.29,"Vietnam","japonica"
"9",2.49,16.2,3.38,0.04,1.32,"Vietnam","japonica"
"10",2.46,16.9,3.5,0.04,1.22,"Vietnam","japonica"
"11",2.41,17.4,3.58,0.05,0.89,"Vietnam","japonica"
"12",2.21,15.1,2.5,0.05,1.37,"Vietnam","japonica"
"13",2.45,15.5,3.65,0.06,0.87,"Vietnam","japonica"
"14",2.27,14.3,5.95,0.07,0.88,"Vietnam","japonica"
"15",2.23,15.2,4.35,0.07,0.97,"Vietnam","japonica"
"16",2.25,15.8,3.49,0.05,0.9,"Vietnam","japonica"
"17",2.05,16.4,3.05,0.05,1.7,"Vietnam","japonica"
"18",2.49,17.5,3.2,0.04,1.69,"Vietnam","japonica"
"19",2.73,19.5,3.07,0.05,1.13,"Vietnam","japonica"
"20",2.59,17.8,2.88,0.05,0.93,"Vietnam","japonica"
"21",2.43,16.5,3.5,0.06,1.03,"Vietnam","japonica"
"22",2.27,16.3,2.54,0.04,1.88,"Vietnam","japonica"
"23",2.22,16.8,3.21,0.06,0.5,"Vietnam","japonica"
"24",2.38,17.5,2.85,0.06,1.26,"Vietnam","japonica"
"25",2.18,16.8,3.3,0.06,0.53,"Vietnam","japonica"
"26",2.38,16.3,3.69,0.05,1.21,"Vietnam","japonica"
"27",2.64,18,3.56,0.05,0.96,"Vietnam","japonica"
"28",2.14,15.1,3.26,0.06,1.05,"Vietnam","japonica"
"29",2.58,17.4,2.71,0.05,1.35,"Vietnam","japonica"
"30",2.58,17.1,3.51,0.06,0.59,"Vietnam","japonica"
"31",2.54,16.9,2.79,0.06,1.26,"Vietnam","japonica"
"32",2.39,17.2,3.22,0.05,1.08,"Vietnam","japonica"
"33",2.32,18.2,1.72,0.06,1.07,"Vietnam","japonica"
